name,link,packagename,category,description
Nilesoft Shell,https://nilesoft.org,Nilesoft.Shell,Customization,Windows context menu customization utility.
NVIDIA App,https://www.nvidia.com/en-in/software/nvidia-app/,,Driver,"NVIDIA GPU management, optimization, and driver utility."
Notepad++,https://notepad-plus-plus.org,Notepad++.Notepad++,Editor,Advanced text and source-code editor.
Obsidian,https://obsidian.md,Obsidian.Obsidian,Notes,Markdown-based knowledge management and note-taking app.
Paint,https://www.microsoft.com/en-in/windows/paint,9PCFS5B6T72H,Graphics,Basic image editing application included with Windows.
PowerToys,https://github.com/microsoft/PowerToys,Microsoft.PowerToys,Utility,Collection of productivity utilities for Windows power users.
Proton VPN,https://protonvpn.com,Proton.ProtonVPN,VPN,Privacy-focused VPN service.
Python 3.14,https://www.python.org,Python.Python.3.14,Programming Language,Popular programming language interpreter.
Python 3.14 (64-bit),https://www.python.org,Python.Python.3.14,Programming Language,64-bit installation of the Python programming language.
qBittorrent,https://www.qbittorrent.org,qBittorrent.qBittorrent,Download Manager,Open-source BitTorrent client.
scrcpy,https://github.com/Genymobile/scrcpy,Genymobile.scrcpy,Developer Tools,Display and control Android devices from PC via ADB.
Snipping Tool,https://www.microsoft.com/store/productId/9MZ95KL8MR0L,9MZ95KL8MR0L,Utility,Windows screenshot and screen recording tool.
Thonny 5.0.0,https://thonny.org,AivarAnnamaa.Thonny,IDE,Beginner-friendly Python IDE.
UniGetUI,https://github.com/marticliment/UniGetUI,MartiCliment.UniGetUI,Package Manager,GUI frontend for Windows package managers like winget.
Vantage Commercial,https://support.lenovo.com,9NR5B8GVVM13,System Utility,Lenovo commercial device management and update utility.
Veikk Tablet,https://www.veikk.com,,Driver,Drivers and utilities for VEIKK drawing tablets.
Vivaldi,https://vivaldi.com,Vivaldi.Vivaldi,Browser,Highly customizable Chromium-based web browser.
WizTree 4.31,https://diskanalyzer.com,AntibodySoftware.WizTree,Disk Utility,Fast disk space analyzer for Windows.
